State,All Fast Food RES,Full-service Res
Alabama,81.7,57.6	
Alaska,61.9,78.7	
Arizona,67.9,59.2	
Arkansas,69.9,67.6	
California,82.3,80.4	
Colorado,75.7,88.2	
Connecticut,76.1,97.1	
Delaware,78.3,85.5	
Florida,65.5,78.9	
Georgia,82.5,69.4	
Hawaii,97.5,89.9	
Idaho	,65.5,74.4	
Illinois,82.5,77.7	
Indiana,73.7,69.7	
Iowa,67.7,79.1	
Kansas,74.7,75.4	
Kentucky,74.2,63.2	
Louisiana,76.2,65.0
Maine	,74.9,110.3
Maryland,89.7,59.0	
Massachusetts,77.5,94.5	
Michigan,73.9,72.1	
Minnesota,67.0,69.1	
Mississippi,77.3,58.1	
Missouri,72.9,74.7	
Montana,69.8,102.5	
Nebraska,71.9,75.8	
Nevada,84.8,68.4	
New Hampshire,79.8,100.2
New Jersey,81.2,89.1	
New Mexico,73.4,66.7	
New York,92.3,106.1	
North Carolina,76.9,75.2	
North Dakota,65.6,76.5	
Ohio,82.8,65.2	
Oklahoma,76.0,72.1	
Oregon,73.4,104.1	
Pennsylvania,75.5,75.9	
Rhode Island,81.3,110.0
South Carolina,73.5,83.9	
South Dakota,63.9,81.5	
Tennessee,77.8,68.2	
Texas,75.8,63.8	
Utah,76.2,53.1	
Vermont,68.3,109.9	
Virginia,80.1,81.7	
Washington,66.8,85.1	
West Virginia,73.8,66.2	
Wisconsin,65.0,86.4	
Wyoming,62.5,96.2
