,Chain,Item,Type,Serving Size (g),Calories,Calories from fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Chol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugar (g),Protein (g)
0,Burger King,Whopper Sandwich,Whopper Sandwiches,270.0,660.0,360.0,40.0,12.0,1.5,90.0,980.0,49.0,2.0,11.0,28.0
1,Burger King,Whopper Sandwich with Cheese,Whopper Sandwiches,292.0,740.0,420.0,46.0,16.0,2.0,115.0,1340.0,50.0,2.0,11.0,32.0
2,Burger King,Bacon & Cheese Whopper Sandwich,Whopper Sandwiches,303.0,790.0,460.0,51.0,17.0,2.0,125.0,1560.0,50.0,2.0,11.0,35.0
3,Burger King,Double Whopper Sandwich,Whopper Sandwiches,354.0,900.0,520.0,58.0,20.0,3.0,175.0,1050.0,49.0,2.0,11.0,48.0
4,Burger King,Double Whopper Sandwich with Cheese,Whopper Sandwiches,377.0,980.0,580.0,64.0,24.0,3.0,195.0,1410.0,50.0,2.0,11.0,52.0
5,Burger King,Triple Whopper Sandwich,Whopper Sandwiches,438.0,1130.0,680.0,75.0,28.0,4.0,255.0,1120.0,49.0,2.0,11.0,67.0
6,Burger King,Triple Whopper Sandwich with Cheese,Whopper Sandwiches,461.0,1220.0,740.0,82.0,32.0,4.5,280.0,1470.0,50.0,2.0,11.0,71.0
7,Burger King,Whopper JR Sandwich,Whopper Sandwiches,134.0,310.0,160.0,18.0,5.0,0.5,40.0,390.0,27.0,1.0,7.0,13.0
8,Burger King,Bacon King Sandwich,Flame Broiled Burgers,356.0,1150.0,710.0,79.0,31.0,3.5,240.0,2150.0,49.0,2.0,10.0,61.0
9,Burger King,Cheddar Bacon King Sandwich,Flame Broiled Burgers,366.0,1190.0,750.0,84.0,33.0,3.5,235.0,1930.0,50.0,2.0,11.0,64.0
10,Burger King,Single Quarter Pound King Sandwich,Flame Broiled Burgers,231.0,580.0,260.0,29.0,13.0,1.5,105.0,1310.0,49.0,2.0,10.0,32.0
11,Burger King,Double Quarter Pound King Sandwich,Flame Broiled Burgers,338.0,900.0,480.0,54.0,25.0,3.0,210.0,1740.0,50.0,2.0,11.0,56.0
12,Burger King,Single Stacker King,Flame Broiled Burgers,223.0,700.0,380.0,42.0,16.0,2.0,125.0,1360.0,48.0,1.0,10.0,35.0
13,Burger King,Double Stacker King,Flame Broiled Burgers,334.0,1050.0,610.0,68.0,28.0,3.5,235.0,1870.0,49.0,1.0,11.0,61.0
14,Burger King,Impossible Whopper Sandwich,Flame Broiled Burgers,285.0,630.0,310.0,34.0,11.0,0.0,10.0,1080.0,58.0,4.0,12.0,25.0
15,Burger King,Hamburger,Flame Broiled Burgers,99.0,240.0,90.0,10.0,3.5,0.5,35.0,380.0,26.0,1.0,6.0,13.0
16,Burger King,Cheeseburger,Flame Broiled Burgers,111.0,280.0,120.0,13.0,6.0,0.5,45.0,560.0,27.0,1.0,7.0,15.0
17,Burger King,Double Hamburger,Flame Broiled Burgers,136.0,350.0,160.0,18.0,7.0,1.0,70.0,410.0,26.0,1.0,6.0,21.0
18,Burger King,Double Cheeseburger,Flame Broiled Burgers,148.0,390.0,190.0,21.0,9.0,1.5,85.0,590.0,27.0,1.0,7.0,23.0
19,Burger King,Extra Long Cheeseburger,Flame Broiled Burgers,226.0,630.0,330.0,37.0,14.0,1.5,100.0,1050.0,45.0,2.0,9.0,29.0
20,Burger King,Bacon Cheeseburger,Flame Broiled Burgers,118.0,320.0,140.0,16.0,7.0,0.5,55.0,710.0,27.0,1.0,7.0,17.0
21,Burger King,Bacon Double Cheeseburger,Flame Broiled Burgers,155.0,420.0,210.0,24.0,10.0,1.5,90.0,740.0,27.0,1.0,7.0,25.0
22,Burger King,Crispy Chicken Sandwich,Chicken & More,228.0,670.0,370.0,41.0,7.0,0.0,60.0,1080.0,54.0,2.0,8.0,23.0
23,Burger King,Spicy Crispy Chicken Sandwich,Chicken & More,242.0,700.0,370.0,42.0,7.0,0.0,65.0,1140.0,57.0,3.0,8.0,25.0
24,Burger King,Original Chicken Sandwich,Chicken & More,219.0,660.0,360.0,40.0,7.0,0.0,75.0,1170.0,48.0,2.0,5.0,28.0
25,Burger King,Bacon & Cheese Crispy Chicken Sandwich,Chicken & More,262.0,800.0,460.0,52.0,13.0,1.0,95.0,1650.0,55.0,2.0,8.0,30.0
26,Burger King,BBQ Bacon Crispy Chicken Sandwich,Chicken & More,249.0,790.0,440.0,49.0,10.0,0.5,80.0,1630.0,60.0,2.0,13.0,28.0
27,Burger King,Crispy Chicken Jr.,Chicken & More,142.0,450.0,270.0,30.0,5.0,0.0,30.0,780.0,34.0,2.0,5.0,12.0
28,Burger King,Spicy Crispy Chicken Jr.,Chicken & More,142.0,390.0,190.0,21.0,3.5,0.0,30.0,740.0,37.0,2.0,6.0,12.0
29,Burger King,0,Chicken & More,58.0,170.0,100.0,11.0,1.5,0.0,25.0,310.0,11.0,1.0,0.0,8.0
30,Burger King,0,Chicken & More,88.0,260.0,150.0,16.0,2.5,0.0,35.0,470.0,16.0,1.0,0.0,12.0
31,Burger King,0,Chicken & More,146.0,430.0,240.0,27.0,4.5,0.0,55.0,780.0,27.0,2.0,0.0,20.0
32,Burger King,0,Chicken & More,292.0,860.0,490.0,54.0,9.0,0.0,115.0,1570.0,53.0,3.0,1.0,39.0
33,Burger King,0,Chicken & More,66.0,210.0,130.0,15.0,3.0,0.0,20.0,570.0,11.0,2.0,0.0,8.0
34,Burger King,0,Chicken & More,99.0,320.0,200.0,22.0,4.5,0.0,35.0,850.0,17.0,3.0,0.0,12.0
35,Burger King,0,Chicken & More,165.0,530.0,330.0,37.0,7.0,0.0,55.0,1420.0,28.0,4.0,1.0,20.0
36,Burger King,0,Chicken & More,330.0,1050.0,670.0,74.0,15.0,0.0,110.0,2840.0,56.0,9.0,1.0,40.0
37,Burger King,0,Chicken & More,91.0,280.0,150.0,17.0,2.5,0.0,35.0,850.0,20.0,1.0,1.0,13.0
38,Burger King,Crispy Taco,Chicken & More,76.0,170.0,80.0,9.0,3.0,0.0,10.0,410.0,19.0,2.0,1.0,5.0
39,Burger King,Big Fish Sandwich,Chicken & More,188.0,510.0,250.0,28.0,4.5,0.0,30.0,1180.0,51.0,2.0,7.0,16.0
40,Burger King,0,Salads & Sides,287.0,440.0,220.0,25.0,7.0,0.0,75.0,930.0,31.0,3.0,4.0,25.0
41,Burger King,0,Salads & Sides,308.0,540.0,300.0,33.0,10.0,0.0,95.0,1380.0,31.0,3.0,5.0,31.0
42,Burger King,0,Salads & Sides,99.0,60.0,35.0,4.0,2.5,0.0,10.0,95.0,3.0,1.0,2.0,4.0
43,Burger King,Ken's Ranch Dressing,Salads & Sides,43.0,260.0,250.0,28.0,4.0,0.0,10.0,240.0,2.0,0.0,2.0,1.0
44,Burger King,Ken's Golden Italian Dressing,Salads & Sides,43.0,160.0,150.0,17.0,2.5,0.0,0.0,380.0,4.0,0.0,3.0,0.0
45,Burger King,Ken's Lite Honey Balsamic Vinaigrette,Salads & Sides,43.0,120.0,70.0,8.0,1.0,0.0,0.0,220.0,14.0,0.0,11.0,0.0
46,Burger King,Buttery Garlic Croutons,Salads & Sides,14.0,60.0,20.0,2.5,0.0,0.0,10.0,180.0,9.0,0.0,1.0,1.0
47,Burger King,0,Salads & Sides,43.0,150.0,70.0,8.0,1.5,0.0,0.0,400.0,19.0,1.0,2.0,1.0
48,Burger King,0,Salads & Sides,91.0,320.0,150.0,16.0,3.0,0.0,0.0,840.0,41.0,3.0,4.0,3.0
49,Burger King,0,Salads & Sides,117.0,410.0,190.0,21.0,3.5,0.0,0.0,1080.0,53.0,4.0,5.0,4.0
50,Burger King,0,Salads & Sides,142.0,500.0,230.0,25.0,4.5,0.0,0.0,1310.0,64.0,5.0,7.0,5.0
51,Burger King,0,Salads & Sides,89.0,220.0,80.0,9.0,1.5,0.0,0.0,210.0,34.0,3.0,1.0,2.0
52,Burger King,0,Salads & Sides,128.0,320.0,120.0,13.0,2.0,0.0,0.0,300.0,49.0,5.0,1.0,4.0
53,Burger King,0,Salads & Sides,153.0,380.0,140.0,16.0,2.0,0.0,0.0,360.0,58.0,6.0,1.0,4.0
54,Burger King,0,Salads & Sides,173.0,430.0,160.0,18.0,2.5,0.0,0.0,410.0,66.0,7.0,2.0,5.0
55,Burger King,Kids Oatmeal,0,167.0,170.0,30.0,3.0,1.5,0.0,5.0,260.0,32.0,3.0,12.0,4.0
56,Burger King,0,0,58.0,170.0,100.0,11.0,1.5,0.0,25.0,310.0,11.0,1.0,0.0,8.0
57,Burger King,0,0,88.0,260.0,150.0,16.0,2.5,0.0,35.0,470.0,16.0,1.0,0.0,12.0
58,Burger King,Hamburger,0,99.0,240.0,90.0,10.0,3.5,0.5,35.0,380.0,26.0,1.0,6.0,13.0
59,Burger King,Cheeseburger,0,111.0,280.0,120.0,13.0,6.0,0.5,45.0,560.0,27.0,1.0,7.0,15.0
60,Burger King,Mott's Natural Applesauce,0,111.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,11.0,0.0
61,Burger King,Fat Free Milk (8 fl oz),0,0.0,90.0,0.0,0.0,0.0,0.0,5.0,125.0,13.0,0.0,12.0,9.0
62,Burger King,1% Low Fat Chocolate Milk (8 fl oz),0,0.0,160.0,25.0,2.5,1.5,0.0,15.0,150.0,26.0,0.0,25.0,8.0
63,Burger King,Capri Sun 100% Apple Juice,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,20.0,0.0
64,Burger King,PB&J Jamwich,0,79.0,300.0,140.0,16.0,3.0,0.0,0.0,290.0,33.0,4.0,11.0,11.0
65,Burger King,Soft Serve Cone,0,120.0,190.0,40.0,4.5,3.0,0.0,20.0,150.0,32.0,0.0,24.0,5.0
66,Burger King,Dutch Apple Pie,Desserts,107.0,340.0,130.0,14.0,6.0,0.0,0.0,310.0,51.0,1.0,25.0,3.0
67,Burger King,Hershey's Sundae Pie,Desserts,79.0,310.0,170.0,19.0,12.0,0.0,10.0,220.0,32.0,1.0,22.0,3.0
68,Burger King,Pie made with Twix,Desserts,102.0,370.0,180.0,20.0,13.0,0.0,10.0,330.0,45.0,1.0,30.0,4.0
69,Burger King,Oreo Cookie Cheesecake,Desserts,92.0,350.0,170.0,18.0,8.0,0.0,35.0,310.0,41.0,1.0,25.0,6.0
70,Burger King,Soft Serve Cone,Desserts,120.0,190.0,40.0,4.5,3.0,0.0,20.0,150.0,32.0,0.0,24.0,5.0
71,Burger King,Soft Serve Cup,Desserts,115.0,170.0,40.0,4.5,3.0,0.0,20.0,150.0,28.0,0.0,24.0,5.0
72,Burger King,Hershey's Chocolate Sundae,Desserts,149.0,260.0,45.0,5.0,3.0,0.0,20.0,160.0,49.0,1.0,43.0,5.0
73,Burger King,Caramel Sundae,Desserts,137.0,240.0,50.0,5.0,3.5,0.0,20.0,210.0,42.0,0.0,33.0,5.0
74,Burger King,Chocolate Chip Cookies (each),Desserts,38.0,160.0,70.0,8.0,4.0,0.0,10.0,125.0,24.0,1.0,15.0,2.0
