,Chain,Item,Type,Serving Size (g),Calories,Calories from fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Chol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugar (g),Protein (g),Protein (g)/g of portion
22,Burger King,Crispy Chicken Sandwich,Chicken & More,228.0,670.0,370.0,41.0,7.0,0.0,60.0,1080.0,54.0,2.0,8.0,23.0,0.10087719298245613
23,Burger King,Spicy Crispy Chicken Sandwich,Chicken & More,242.0,700.0,370.0,42.0,7.0,0.0,65.0,1140.0,57.0,3.0,8.0,25.0,0.10330578512396695
24,Burger King,Original Chicken Sandwich,Chicken & More,219.0,660.0,360.0,40.0,7.0,0.0,75.0,1170.0,48.0,2.0,5.0,28.0,0.1278538812785388
27,Burger King,Crispy Chicken Jr.,Chicken & More,142.0,450.0,270.0,30.0,5.0,0.0,30.0,780.0,34.0,2.0,5.0,12.0,0.08450704225352113
28,Burger King,Spicy Crispy Chicken Jr.,Chicken & More,142.0,390.0,190.0,21.0,3.5,0.0,30.0,740.0,37.0,2.0,6.0,12.0,0.08450704225352113
39,Burger King,Big Fish Sandwich,Chicken & More,188.0,510.0,250.0,28.0,4.5,0.0,30.0,1180.0,51.0,2.0,7.0,16.0,0.0851063829787234
45,Burger King,Ken's Lite Honey Balsamic Vinaigrette,Salads & Sides,43.0,120.0,70.0,8.0,1.0,0.0,0.0,220.0,14.0,0.0,11.0,0.0,0.0
46,Burger King,Buttery Garlic Croutons,Salads & Sides,14.0,60.0,20.0,2.5,0.0,0.0,10.0,180.0,9.0,0.0,1.0,1.0,0.07142857142857142
55,Burger King,Kids Oatmeal,0,167.0,170.0,30.0,3.0,1.5,0.0,5.0,260.0,32.0,3.0,12.0,4.0,0.023952095808383235
64,Burger King,PB&J Jamwich,0,79.0,300.0,140.0,16.0,3.0,0.0,0.0,290.0,33.0,4.0,11.0,11.0,0.13924050632911392
100,Burger King,Mayo,Additional Options,12.0,80.0,80.0,9.0,0.5,0.0,10.0,75.0,1.0,0.0,0.0,0.0,0.0
187,Mc Donalds,McChicken,Sandwiches,143.0,360.0,150.0,16.0,3.0,0.0,11.0,830.0,40.0,2.0,5.0,14.0,0.0979020979020979
189,Mc Donalds,Premium Grilled Chicken Classic Sandwich,Sandwiches,201.0,360.0,80.0,9.0,2.0,0.0,21.0,820.0,41.0,4.0,8.0,27.0,0.13432835820895522
190,Mc Donalds,Premium Crispy Chicken Classic Sandwich,Sandwiches,213.0,510.0,200.0,22.0,3.5,0.0,16.0,990.0,56.0,3.0,10.0,24.0,0.11267605633802817
193,Mc Donalds,Premium Grilled Chicken Ranch BLT Sandwich,Sandwiches,203.0,380.0,90.0,10.0,3.0,0.0,25.0,1000.0,41.0,4.0,9.0,31.0,0.15270935960591134
194,Mc Donalds,Premium Crispy Chicken Ranch BLT Sandwich,Sandwiches,215.0,540.0,210.0,23.0,4.5,0.0,19.0,1160.0,56.0,3.0,11.0,27.0,0.12558139534883722
195,Mc Donalds,Southern Style Crispy Chicken Sandwich,Sandwiches,161.0,400.0,150.0,17.0,3.0,0.0,16.0,1030.0,39.0,1.0,6.0,24.0,0.14906832298136646
